experience_level,employment_type,job_title,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category
Entry-level,Freelance,"Applied Data Scientist",30000,"United Kingdom",Remote,"United Kingdom",M,"Data Science and Research"
Executive,Full-time,"Business Intelligence",230000,"United States",In-person,"United States",M,"BI and Visualization"
Executive,Full-time,"Business Intelligence",176900,"United States",In-person,"United States",M,"BI and Visualization"
Senior,Full-time,"Data Architect",171210,Canada,In-person,Canada,M,"Data Architecture and Modeling"
Senior,Full-time,"Data Architect",92190,Canada,In-person,Canada,M,"Data Architecture and Modeling"
Mid-level,Full-time,"Data Science",57753,"United Kingdom",In-person,"United Kingdom",M,"Data Science and Research"
Mid-level,Full-time,"Data Science",47850,"United Kingdom",In-person,"United Kingdom",M,"Data Science and Research"
Entry-level,Full-time,"Insight Analyst",50000,"United States",Remote,"United States",M,"Data Analysis"
Entry-level,Full-time,"Insight Analyst",40000,"United States",Remote,"United States",M,"Data Analysis"
Senior,Full-time,"Data Engineer",276000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",148000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Research Scientist",234000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Research Scientist",146000,"United States",In-person,"United States",M,"Data Science and Research"
Entry-level,Full-time,"Business Intelligence Analyst",192300,"United States",In-person,"United States",M,"BI and Visualization"
Entry-level,Full-time,"Business Intelligence Analyst",120200,"United States",In-person,"United States",M,"BI and Visualization"
Entry-level,Full-time,"Analytics Engineer",132500,"United States",In-person,"United States",M,"Leadership and Management"
Entry-level,Full-time,"Analytics Engineer",111500,"United States",In-person,"United States",M,"Leadership and Management"
Entry-level,Full-time,"Data Engineer",234000,"United States",In-person,"United States",M,"Data Engineering"
Entry-level,Full-time,"Data Engineer",146000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Scientist",322000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",168000,"United States",In-person,"United States",M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",152000,Canada,In-person,Canada,M,"Data Science and Research"
Mid-level,Full-time,"Data Scientist",98000,Canada,In-person,Canada,M,"Data Science and Research"
Senior,Full-time,"Research Engineer",138000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Research Engineer",86000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Science",268700,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Science",130300,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"BI Developer",75000,"United Kingdom",In-person,"United Kingdom",M,"BI and Visualization"
Senior,Full-time,"BI Developer",50000,"United Kingdom",In-person,"United Kingdom",M,"BI and Visualization"
Senior,Full-time,"Data Analyst",115000,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Analyst",105000,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Scientist",100000,"United Kingdom",In-person,"United Kingdom",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",87500,"United Kingdom",In-person,"United Kingdom",M,"Data Science and Research"
Senior,Full-time,"Business Intelligence Engineer",156476,"United States",Remote,"United States",M,"BI and Visualization"
Senior,Full-time,"Business Intelligence Engineer",104981,"United States",Remote,"United States",M,"BI and Visualization"
Mid-level,Full-time,"Data Engineer",146000,"United States",Remote,"United States",M,"Data Engineering"
Mid-level,Full-time,"Data Engineer",110000,"United States",Remote,"United States",M,"Data Engineering"
Senior,Full-time,"Data Scientist",297000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Scientist",138000,"United States",In-person,"United States",M,"Data Science and Research"
Senior,Full-time,"Data Quality Engineer",190000,"United States",In-person,"United States",M,"Data Quality and Operations"
Senior,Full-time,"Data Quality Engineer",25000,"United States",In-person,"United States",M,"Data Quality and Operations"
Mid-level,Full-time,"Machine Learning Engineer",160480,"United States",In-person,"United States",M,"Machine Learning and AI"
Mid-level,Full-time,"Machine Learning Engineer",109920,"United States",In-person,"United States",M,"Machine Learning and AI"
Senior,Full-time,"Data Engineer",224000,"United States",In-person,"United States",M,"Data Engineering"
Senior,Full-time,"Data Engineer",150000,"United States",In-person,"United States",M,"Data Engineering"
Entry-level,Full-time,"Data Analyst",84000,"United States",In-person,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Analyst",75800,"United States",In-person,"United States",M,"Data Analysis"
Mid-level,Full-time,"Cloud Database Engineer",146125,"United States",Remote,"United States",M,"Cloud and Database"
Mid-level,Full-time,"Cloud Database Engineer",82000,"United States",Remote,"United States",M,"Cloud and Database"
Mid-level,Full-time,"Business Intelligence",207600,"United States",In-person,"United States",M,"BI and Visualization"
Mid-level,Full-time,"Business Intelligence",138400,"United States",In-person,"United States",M,"BI and Visualization"
Entry-level,Full-time,"Data Analyst",94600,"United States",In-person,"United States",M,"Data Analysis"
Entry-level,Full-time,"Data Analyst",75700,"United States",In-person,"United States",M,"Data Analysis"
Senior,Full-time,"Data Science",331292,"United States",In-person,"United States",M,"Data Science and Research"
